binomial,calculated_rarity,output_rarity,justification
"Crossocerus capitosus: iso. Richards: 1980","NF","NF",""
"Crossocerus annulipes: iso. Richards: 1980","NF","NF",""
"Crossocerus vagabundus: iso. Richards: 1980","NR","NR",""
"Crossocerus podagricus: iso. Richards: 1980","NF","NF",""
"Crossocerus congener: iso. de Beaumont: 1964","NR","NR",""
"Euodynerus quadrifasciatus: iso. Early: 2018","NR","NR",""
"Mimesa lutaria: iso. Bitsch et al: 2001","NF","NF",""
"Mimesa equestris: iso. Bitsch et al: 2001","NF","NF",""
"Mimesa bruxellensis: iso. Bitsch et al: 2001","NS","ID",""
"Mimesa bicolor: iso. Bitsch et al: 2001","NR","ID",""
"Macropis europaea: iso. Amiet et al: 2007","NF","NF",""
"Cleptes nitidulus: iso. Morgan: 1984","NS","NS",""
"Cleptes semiauratus: iso. Morgan: 1984","NS","",""
"Linepithema humile: iso. Bolton: 2019","NR","",""
"Entomognathus brevis: iso. Richards: 1980","NF","NF",""
"Anoplius viaticus: iso. Day: 1988","NF","NF",""
"Anoplius infuscatus: iso. Day: 1988","NF","NF",""
"Anoplius nigerrimus: iso. Day: 1988","NF","NF",""
"Anoplius concinnus: iso. Day: 1988","NF","NF",""
"Anoplius caviventris: iso. Day: 1988","NS","NS",""
"Tachysphex nitidus: iso. Bitsch et al: 2001","NS","NS",""
"Tachysphex unicolor: iso. Bitsch et al: 2001","NR","NR",""
"Tachysphex pompiliformis: iso. Richards: 1980","NF","NF",""
"Tapinoma subboreale: iso. Seifert: 2012","NR","ID",""
"Tapinoma melanocephalum: iso. Bolton: 2019","NR","",""
"Tapinoma erraticum: iso. Seifert: 2012","NR","ID","Nomenclatural split"
"Symmorphus gracilis: iso. Richards: 1980","NF","NF",""
"Symmorphus crassicornis: iso. Richards: 1980","NS","NS",""
"Symmorphus connexus: iso. Richards: 1980","NR","NR",""
"Symmorphus bifasciatus: iso. Archer: 2000","NF","NF",""
"Epeolus variegatus: iso. Amiet et al: 2007","NF","NF",""
"Epeolus cruciger: iso. Amiet et al: 2007","NF","NF",""
"Odynerus simillimus: iso. Richards: 1980","NR","NR",""
"Odynerus spinipes: iso. Richards: 1980","NF","NF",""
"Odynerus melanocephalus: iso. Richards: 1980","NF","NF",""
"Aporus unicolor: iso. Day: 1988","NS","NS",""
"Epyris niger: iso. Perkins: 1976","NS","NS",""
"Epyris bilineatus: iso. Perkins: 1976","NR","ID",""
"Trypoxylon figulus: iso. Pulawski: 1984","NF","NF",""
"Trypoxylon medium: iso. Pulawski: 1984","NF","NF",""
"Trypoxylon clavicerum: iso. Richards: 1980","NF","NF",""
"Trypoxylon attenuatum: iso. Richards: 1980","NF","NF",""
"Formica sanguinea: iso. Bolton & Collingwood: 1875","NS","NS",""
"Formica rufibarbis: iso. Bolton & Collingwood: 1975","NR","NR",""
"Formica rufa: iso. Bolton & Collingwood: 1975","NF","NF",""
"Formica picea: iso. Seifert: 2007","NR","NR",""
"Formica lugubris: iso. Bolton & Collingwood: 1975","NF","NF",""
"Formica lemani: iso. Bolton & Collingwood: 1975","NF","NF",""
"Formica fusca: iso. Bolton & Collingwood: 1975","NF","NF",""
"Formica exsecta: iso. Bolton & Collingwood: 1975","NR","NR",""
"Formica cunicularia: iso. Bolton & Collingwood: 1975","NF","NF",""
"Formica aquilonia: iso. Bolton & Collingwood: 1975","NS","NS",""
"Formicoxenus nitidulus: iso. Bolton & Collingwood: 1975","NS","NS",""
"Diodontus tristis: iso. Richards: 1980","NF","NF",""
"Diodontus minutus: iso. Richards: 1980","NF","NF",""
"Diodontus luperus: iso. Richards: 1980","NF","NF",""
"Diodontus insidiosus: iso. Richards: 1980","NS","NS",""
"Argogorytes mystaceus: iso. Richards: 1980","NF","NF",""
"Argogorytes fargeii: iso. Richards: 1980","NS","NS",""
"Homonotus sanguinolentus: iso. Day: 1988","NR","NR",""
"Evagetes pectinipes: iso. Day: 1988","NS","NS",""
"Evagetes dubius: iso. Day: 1988","NS","NS",""
"Evagetes crassicornis: iso. Day: 1988","NF","NF",""
"Dryudella pinguis: iso. Bitsch et al: 2001","NF","NF",""
"Xylocopa virginica: iso. Falk: 2015","NR","",""
"Xylocopa violacea: iso. Amiet et al: 2007","NS","NS",""
"Microdynerus exilis: iso. Richards: 1980","NF","NF",""
"Ponera coarctata: iso. Csösz & Seifert: 2003","NR","ID",""
"Ponera testacea: iso. Csösz & Seifert: 2003","NR","ID",""
"Psenulus chevrieri: iso. Schmid-Egger: 2016","NR","ID","Recent split"
"Psenulus pallipes: iso. Schmid-Egger: 2016","NS","ID","Recent split"
"Psenulus schencki: iso. Richards: 1980","NS","NS",""
"Psenulus concolor: iso. Richards: 1980","NF","NF",""
"Vespa crabro: iso. Archer: 1989","NF","NF",""
"Tetramorium atratulum: iso. Seifert: 2007","NR","ID",""
"Tetramorium caespitum: iso. Schlick-Steiner: 2006","NF","NF",""
"Tetramorium bicarinatum: iso. Bolton: 2019","NR","",""
"Lonchodryinus ruficornis: iso. Olmi: 1994","NS","NS",""
"Dolichovespula sylvestris: iso. Archer: 1989","NF","NF",""
"Dolichovespula saxonica: iso. Archer: 1989","NF","NF",""
"Dolichovespula norwegica: iso. Archer: 1989","NF","NF",""
"Dolichovespula media: iso. Archer: 1989","NF","NF",""
"Bombus cryptarum: iso. Murray et al: 2008","NS","ID","Subject of a fairly recent split, which so far can only be reliably determined across the range by genetic or chemical analysis."
"Bombus magnus: iso. Murray et al: 2008","NS","ID","Subject of a fairly recent split, which so far can only be reliably determined across the range by genetic or chemical analysis."
"Bombus lucorum agg: iso. Murray et al: 2008","NF","NF",""
"Bombus lucorum: iso. Murray et al: 2008","NS","ID","Subject of a fairly recent split, which so far can only be reliably determined across the range by genetic or chemical analysis."
"Bombus sylvarum: iso. Cameron et al: 2007","NS","NS",""
"Bombus ruderarius: iso. Cameron et al: 2007","NF","NS","The current distribution and maps show many locations plotted which are dubious."
"Bombus pascuorum: iso. Cameron et al: 2007","NF","NF",""
"Bombus muscorum: iso. Cameron et al: 2007","NF","NF",""
"Bombus humilis: iso. Cameron et al: 2007","NF","NF",""
"Bombus subterraneus: iso. Cameron et al: 2007","NR","EX",""
"Bombus distinguendus: iso. Cameron et al: 2007","NS","NS",""
"Bombus pratorum: iso. Cameron et al: 2007","NF","NF",""
"Bombus monticola: iso. Cameron et al: 2007","NF","NF",""
"Bombus jonellus: iso. Cameron et al: 2007","NF","NF",""
"Bombus hypnorum: iso. Cameron et al: 2007","NF","NF",""
"Bombus vestalis: iso. Cameron et al: 2007","NF","NF",""
"Bombus sylvestris: iso. Cameron et al: 2007","NF","NF",""
"Bombus rupestris: iso. Cameron et al: 2007","NF","NF",""
"Bombus campestris: iso. Cameron et al: 2007","NF","NF",""
"Bombus bohemicus: iso. Cameron et al: 2007","NF","NF",""
"Bombus barbutellus: iso. Cameron et al: 2007","NF","NF",""
"Bombus lapidarius: iso. Cameron et al: 2007","NF","NF",""
"Bombus ruderatus: iso. Cameron et al: 2007","NF","NF",""
"Bombus hortorum: iso. Cameron et al: 2007","NF","NF",""
"Bombus soroeensis: iso. Cameron et al: 2007","NF","NF",""
"Bombus terrestris: iso. Cameron et al: 2007","NF","NF",""
"Cerceris rybyensis: iso. Richards: 1980","NF","NF",""
"Cerceris ruficornis: iso. Richards: 1980","NS","NS",""
"Cerceris quinquefasciata: iso. Richards: 1980","NF","NF",""
"Cerceris quadricincta: iso. Richards: 1980","NS","NS",""
"Cerceris arenaria: iso. Richards: 1980","NF","NF",""
"Miscophus concolor: iso. Richards: 1980","NS","NS",""
"Miscophus bicolor: iso. Bitsch et al: 2001","NR","ID",""
"Miscophus ater: iso. Richards: 1980","NR","NR",""
"Solenopsis fugax: iso. Bolton & Collingwood: 1975","NR","ID",""
"Bethylus fuscicornis: iso. Perkins: 1976","NS","NS",""
"Bethylus dendrophilus: iso. Perkins: 1976","NR","ID",""
"Bethylus cephalotes: iso. Perkins: 1976","NS","NS",""
"Bethylus boops: iso. Burn: 1997","NR","ID",""
"Astata boops: iso. Richards: 1980","NF","NF",""
"Pompilus cinereus: iso. Day: 1988","NF","NF",""
"Colletes cunicularius: iso. Guichard: 1974","NS","NS",""
"Colletes succinctus: iso. Guichard: 1974","NF","NF",""
"Colletes similis: iso. Guichard: 1974","NF","NF",""
"Colletes marginatus: iso. Guichard: 1974","NS","NS",""
"Colletes hederae: iso. Schmidt & Westrich: 1993","NF","NF",""
"Colletes halophilus: iso. Guichard: 1974","NS","NS",""
"Colletes fodiens: iso. Guichard: 1974","NF","NF",""
"Colletes floralis: iso. Guichard: 1974","NS","NS",""
"Colletes daviesanus: iso. Guichard: 1974","NF","NF",""
"Anthidium manicatum: iso. Amiet et al: 2004","NF","NF",""
"Dufourea minuta: iso. Baker: 1994","NR","",""
"Pseudisobrachium subcyaneum: iso. Perkins: 1976","NR","ID",""
"Embolemus ruddii: iso. Perkins: 1976","NR","ID",""
"Myrmosa atra: iso. Amiet: 2008","NF","NF",""
"Hedychrum rutilans: iso. Morgan: 1984","NR","",""
"Hoplitis adunca: iso. Else & Edwards: 2018","NR","",""
"Hoplitis claviventris: iso. Falk: 2015","NF","NF",""
"Ancistrocerus trifasciatus: iso. Richards: 1980","NF","NF",""
"Ancistrocerus scoticus: iso. Richards: 1980","NF","NF",""
"Ancistrocerus parietum: iso. Richards: 1980","NF","NF",""
"Ancistrocerus parietinus: iso. Richards: 1980","NF","NF",""
"Ancistrocerus oviventris: iso. Archer: 2000","NF","NF",""
"Ancistrocerus nigricornis: iso. Richards: 1980","NF","NF",""
"Ancistrocerus gazella: iso. Richards: 1980","NF","NF",""
"Rhopalum gracile: iso. Richards: 1980","NR","NR",""
"Rhopalum coarctatum: iso. Richards: 1980","NF","NF",""
"Rhopalum clavipes: iso. Richards: 1980","NF","NF",""
"Hedychridium roseum: iso. Morgan: 1984","NF","",""
"Hedychridium cupreum: iso. Morgan: 1984","NS","NS",""
"Hedychridium coriaceum: iso. Morgan: 1984","NS","NS",""
"Hedychridium ardens: iso. Morgan: 1984","NF","NF",""
"Stigmus solskyi: iso. Bitsch et al: 2001","NF","NF",""
"Stigmus pendulus: iso. Bitsch et al: 2001","NF","NF",""
"Mutilla europaea: iso. Richards: 1980","NS","NS",""
"Goniozus claripennis: iso. Perkins: 1976","NR","NR",""
"Caliadurgus fasciatellus: iso. Day: 1988","NF","NF",""
"Temnothorax unifasciatus: iso. Seifert: 2007","NR","",""
"Temnothorax nylanderi: iso. Seifert: 2007","NF","NF",""
"Temnothorax interruptus: iso. Seifert: 2007","NR","NR",""
"Temnothorax albipennis: iso. Seifert: 2007","NS","NS",""
"Gonatopus distinctus: iso. Olmi: 1994","NR","ID",""
"Gonatopus albosignatus: iso. Olmi: 1994","NR","ID",""
"Gonatopus striatus: iso. Olmi: 1994","NR","NR",""
"Gonatopus lunatus: iso. Olmi: 1994","NR","ID",""
"Gonatopus formicicolus: iso. Olmi: 1994","NR","ID",""
"Gonatopus distinguendus: iso. Olmi: 1994","NR","ID",""
"Gonatopus clavipes: iso. Olmi: 1994","NS","NS",""
"Gonatopus bicolor: iso. Olmi: 1994","NR","ID",""
"Spilomena differens: iso. Vikberg: 2000","NR","ID",""
"Spilomena curruca: iso. Vikberg: 2000","NR","ID",""
"Spilomena troglodytes: iso. Vikberg: 2000","NF","NF",""
"Spilomena enslini: iso. Vikberg: 2000","NS","NS",""
"Spilomena beata: iso. Vikberg: 2000","NS","ID",""
"Monomorium pharaonis: iso. Bolton: 2019","NR","",""
"Dryinus niger: iso. Olmi: 1994","NR","ID",""
"Dryinus collaris: iso. Olmi: 1999","NR","ID",""
"Apis mellifera: iso. Amiet: 1996","NF","",""
"Oxybelus uniglumis: iso. Richards: 1980","NF","NF",""
"Oxybelus mandibularis: iso. Richards: 1980","NS","NS",""
"Oxybelus argentatus: iso. Richards: 1980","NS","NS",""
"Pseudepipona herrichii: iso. Richards: 1980","NR","NR",""
"Melecta albifrons: iso. Amiet et al: 2007","NF","NF",""
"Didineis lunicornis: iso. Bitsch et al: 1997","NS","NS",""
"Cephalonomia formiciformis: iso. Perkins: 1976","NR","ID",""
"Arachnospila spissa: iso. Day: 1988","NF","NF",""
"Arachnospila minutula: iso. Day: 1988","NF","NF",""
"Arachnospila wesmaeli: iso. Day: 1988","NS","NS",""
"Arachnospila trivialis: iso. Day: 1988","NF","NF",""
"Arachnospila consobrina: iso. Day: 1988","NR","NR",""
"Arachnospila anceps: iso. Day: 1988","NF","NF",""
"Priocnemis susterai: iso. Day: 1988","NF","NF",""
"Priocnemis perturbator: iso. Day: 1988","NF","NF",""
"Priocnemis coriacea: iso. Day: 1988","NS","NS",""
"Priocnemis schioedtei: iso. Day: 1988","NS","NS",""
"Priocnemis pusilla: iso. Day: 1988","NF","NF",""
"Priocnemis parvula: iso. Day: 1988","NF","NF",""
"Priocnemis hyalinata: iso. Day: 1988","NS","NS",""
"Priocnemis fennica: iso. Day: 1988","NF","NF",""
"Priocnemis exaltata: iso. Day: 1988","NF","NF",""
"Priocnemis cordivalvata: iso. Day: 1988","NS","NS",""
"Priocnemis confusor: iso. Wiśniowski: 2009","NS","NS",""
"Priocnemis agilis: iso. Day: 1988","NS","NS",""
"Lestiphorus bicinctus: iso. Bitsch et al: 1997","NF","NF",""
"Nysson trimaculatus: iso. Richards: 1980","NF","NF",""
"Nysson spinosus: iso. Richards: 1980","NF","NF",""
"Nysson interruptus: iso. Richards: 1980","NR","NR",""
"Nysson dimidiatus: iso. Richards: 1980","NF","NF",""
"Myrmecina graminicola: iso. Bolton & Collingwood: 1975","NF","NF",""
"Ceropales variegata: iso. Day: 1988","NR","NR",""
"Ceropales maculata: iso. Day: 1988","NS","NS",""
"Passaloecus gracilis: iso. Guichard: 2002","NF","NF",""
"Passaloecus turionum: iso. Guichard: 2002","NR","NR",""
"Passaloecus singularis: iso. Bitsch et al: 2001","NF","NF",""
"Passaloecus monilicornis: iso. Bitsch et al: 2001","NS","NS",""
"Passaloecus insignis: iso. Bitsch et al: 2001","NF","NF",""
"Passaloecus eremita: iso. Bitsch et al: 2001","NS","NS",""
"Passaloecus corniger: iso. Bitsch et al: 2001","NF","NF",""
"Passaloecus clypealis: iso. Bitsch et al: 2001","NS","NS",""
"Gorytes quadrifasciatus: iso. Richards: 1980","NF","NF",""
"Gorytes laticinctus: iso. Richards: 1980","NF","NF",""
"Andrena russala: iso. Praz et al: 2022","NF","NF",""
"Andrena confinis: iso. Wood: 2022","NS","NS",""
"Andrena wilkella: iso. Praz et al: 2022","NF","NF",""
"Pseudospinolia neglecta: iso. Paukkunen et al: 2015","NS","NS",""
"Chrysis ignita: iso. Paukkunen et al: 2015","NS","",""
"Chrysis solida: iso. Paukkunen et al: 2015","NR","",""
"Chrysis mediata: iso. Paukkunen et al: 2015","NR","",""
"Chrysis terminata: iso. Paukkunen et al: 2015","NS","NS",""
"Chrysis schencki: iso. Paukkunen et al: 2015","NS","",""
"Chrysis impressa: iso. Paukkunen et al: 2015","NF","",""
"Chrysis illigeri: iso. Paukkunen et al: 2015","NS","NS",""
"Chrysis gracillima: iso. Paukkunen et al: 2015","NS","NS",""
"Chrysis angustula: iso. Paukkunen et al: 2015","NF","NF",""
"Chrysura radians: iso. Paukkunen et al: 2015","NS","NS",""
"Chrysura hirsuta: iso. Paukkunen et al: 2015","NR","ID",""
"Elampus panzeri: iso. Paukkunen et al: 2015","NS","",""
"Pseudomalus violaceus: iso. Paukkunen et al: 2015","NS","NS",""
"Pseudomalus auratus: iso. Paukkunen et al: 2015","NF","NF",""
"Hedychrum nobile: iso. Paukkunen et al: 2015","NS","NS",""
"Hedychrum niemelai: iso. Paukkunen et al: 2015","NS","NS",""
"Omalus puncticollis: iso. Paukkunen et al: 2015","NS","NS",""
"Omalus aeneus: iso. Paukkunen et al: 2015","NS","NS",""
"Holopyga generosa: iso. Paukkunen et al: 2015","NR","NR",""
"Andrena simillima: iso. Perkins: 1919","NS","NS",""
"Andrena lathyri: iso. Amiet et al: 2010","","EX",""
"Andrena lepida: iso. Amiet et al: 2010","","EX",""
"Andrena nanula: iso. Amiet et al: 2010","","",""
"Andrena nana: iso. Amiet et al: 2010","","EX",""
"Andrena floricola: iso. Amiet et al: 2010","","",""
"Andrena tridentata: iso. Perkins: 1919","","EX",""
"Hylaeus punctulatissimus: iso. Amiet et al: 1999","","",""
"Lasioglossum laeve: iso. Amiet et al: 2001","","",""
"Polistes nimpha: iso. Schmid-Egger et al: 2017","","",""
"Polistes gallicus: iso. Guiglia: 1972","","",""
"Lindenius pygmaeus: iso. Richards: 1980","","",""
"Pristocera depressa: iso. Perkins: 1976","","",""
"Cardiocondyla britteni: iso. Bolton: 2019","","",""
"Chrysis pseudobrevitarsis: iso. Morgan: 1984","","EX",""
"Chrysis longula: iso. Morgan: 1984","","EX",""
"Episyron gallicum: iso. Wiśniowski: 2009","","",""
"Eucera nigrescens: iso. Amiet et al: 2007","","EX",""
"Hypoponera eduardi: iso. Seifert: 2018","","",""
"Hypoponera ergatandria: iso. Seifert: 2018","","",""
"Halictus maculatus: iso. Amiet et al: 2001","","EX",""
"Megachile lapponica: iso. Perkins: 1925","","",""
"Megachile ericetorum: iso. Perkins: 1925","","",""
"Anteon reticulatum: iso. Olmi: 1999","","",""
"Laelius pedatus: iso. Vikberg & Koponen: 2005","","",""
"Mellinus crabroneus: iso. Richards: 1980","","EX",""
"Nomada subcornuta: iso. Falk: 2004","","ID",""
"Nomada errans: iso. Amiet et al: 2007","","EX",""
"Linepithema iniquinum: iso. Bolton: 2019","","",""
"Tapinoma madeirense: iso. Seifert: 2012","","",""
"Odynerus reniformis: iso. Richards: 1980","","EX",""
"Trypoxylon minus: iso. Pulawski: 1984","","",""
"Plastanoxus westwoodi: iso. Perkins: 1976","","",""
"Plastanoxus munroi: iso. Perkins: 1976","","",""
"Plastanoxus chittendenii: iso. Perkins: 1976","","EX",""
"Formica pratensis: iso. Bolton & Collingwood: 1975","","EX",""
"Crematogaster scutellaris: iso. Bolton & Collingwood: 1975","","",""
"Plagiolepis schmitzii: iso. Bolton: 2019","","",""
"Vespa velutina: iso. Archer: 1989","","",""
"Tetramorium impurum: iso. Schlick-Steiner: 2006","","ID",""
"Tetramorium caldarium: iso. Bolton: 2019","","",""
"Tetramorium simillimum: iso. Bolton: 2019","","",""
"Psen ater: iso. Bitsch et al: 2001","","",""
"Dinetus pictus: iso. Richards: 1980","","",""
"Bombus pomorum: iso. Cameron et al: 2007","","",""
"Bombus cullumanus: iso. Cameron et al: 2007","","EX",""
"Cerceris sabulosa: iso. Richards: 1980","","",""
"Dufourea halictula: iso. Baker: 1994","","EX",""
"Hoplitis leucomelana: iso. Falk: 2015","","EX",""
"Rophites quinquespinosus: iso. Amiet et al: 1999","","",""
"Ancistrocerus claripennis: iso. Else et al: 2016","","EX",""
"Ancistrocerus antilope: iso. Richards: 1980","","EX",""
"Mystrophorus formicaeformis: iso. Olmi: 1994","","",""
"Gonatopus pedestris: iso. Olmi: 1994","","EX",""
"Gonatopus helleni: iso. Olmi: 1994","","ID",""
"Monomorium floricola: iso. Bolton: 2019","","",""
"Melecta luctuosa: iso. Amiet et al: 2007","","EX",""
"Pheidole megacephala: iso. Bolton & Collingwood: 1975","","",""
"Isodontia mexicana: iso. Bitsch et al: 1997","","",""
"Holepyris sylvanidis: iso. Perkins: 1976","","",""
"Holepyris glabratus: iso. Else et al: 2016","","",""
"Cephalonomia waterstoni: iso. Perkins: 1976","","",""
"Cephalonomia tarsalis: iso. Perkins: 1976","","",""
"Cephalonomia hammi: iso. Perkins: 1976","","",""
"Cephalonomia gallicola: iso. Perkins: 1976","","",""
"Arachnospila rufa: iso. Day: 1988","","EX",""
"Priocnemis propinqua: iso. Day: 1988","","",""
"Lestica clypeata: iso. Richards: 1980","","",""
"Andrena scotica: iso. Wood et al: 2022","","",""
"Andrena trimmerana: iso. Wood et al: 2022","","",""
"Andrena ovatula: iso. Praz et al: 2022","","",""
"Pemphredon fabricii: iso. Falk & Early: 2021","","",""
"Pemphredon lethifer: iso. Bleet & Early: 2022","","",""
"Pemphredon austriaca: iso. Bleet & Early: 2022","","",""
"Pemphredon enslini: iso. Bleet & Early: 2022","","",""
"Eumenes pedunculatus: iso. Gereys: 2016","","",""
"Elampus foveatus: iso. Paukkunen et al: 2015","","",""
"Philoctetes truncatus: iso. Paukkunen et al: 2015","","ID",""
"Nomada panzeri: iso. Falk et al: 2022","","",""
"Nomada glabella: iso. Falk et al: 2022","","",""
"Polistes biglumis: iso. Schmid-Egger et al: 2017","","",""
"Hedychridium caputaureum: iso. Paukkunen et al: 2015","","",""
"Trypoxylon deceptorium: iso. Antropov: 1991","","ID",""
"Sphecodes albilabris: iso. Bogusch & Straka: 2012","","",""
"Strumigenys perplexa: iso. Hamer et al: 2021","","",""
"Andrena afzeliella: iso. Praz et al: 2022","","",""
